69	59	20	23	57
73	81	36	39	52
92	76	63	77	43
65	33	85	8	81
89	3	60	24	68
22	58	55	67	20
27	74	19	87	99
91	71	77	91	58
48	26	67	70	31
50	97	2	71	41
47	27	78	70	75
59	79	71	21	43
33	59	49	10	8
68	82	72	51	89
59	25	66	66	15
11	42	44	5	15
31	87	60	10	78
81	6	86	59	74
49	87	17	45	56
15	82	92	32	38
47	29	40	42	43
2	91	24	2	29
95	10	15	85	75
53	82	96	46	45
69	42	77	86	83
66	54	67	89	85
40	41	85	1	24
30	32	73	13	87
51	4	74	47	82
90	77	80	4	19
60	65	61	67	100
57	22	15	15	23
18	34	98	91	63
90	60	31	96	53
95	52	88	11	47
86	45	47	31	84
46	80	65	27	7
55	96	51	9	13
33	58	44	12	74
99	28	81	60	100
8	92	16	55	29
100	9	92	41	45
61	7	22	53	16
51	16	6	27	40
38	65	6	85	25
79	99	10	98	67
94	82	82	86	32
3	41	73	23	91
35	22	54	77	82
91	7	4	40	75
21	27	85	10	17
52	61	45	8	22
70	86	8	12	76
62	31	94	94	56
78	95	70	68	23
43	91	53	67	7
53	9	70	4	91
100	54	17	14	53
20	50	78	29	97
81	62	59	8	99
63	38	94	90	71
67	32	85	16	1
25	64	86	32	21
11	93	46	49	73
11	99	29	87	7
66	97	27	32	67
94	70	79	80	40
5	92	41	26	49
98	95	50	13	90
88	83	62	29	99
82	24	39	92	41
9	42	97	63	88
85	25	91	98	19
48	6	41	13	91
57	14	20	21	34
49	25	54	6	94
54	7	92	31	82
23	42	67	66	19
51	56	44	28	65
14	20	91	44	54
59	26	45	75	37
99	68	28	30	50
50	7	37	16	29
45	84	19	58	12
59	26	42	71	98
22	3	59	92	93
66	21	63	93	31
23	68	1	53	20
63	97	78	14	96
82	60	62	46	90
17	17	97	35	49
61	90	70	19	100
3	70	90	81	32
38	57	34	78	75
11	73	23	82	6
59	86	10	37	39
11	57	29	78	12
10	46	73	44	58
63	79	33	50	38
68	93	47	82	63
84	76	30	8	73
48	70	26	50	26
60	96	81	71	35
2	45	18	80	60
47	66	22	43	88
40	27	94	66	72
17	54	27	98	45
32	85	29	58	53
26	71	81	5	50
11	44	64	95	83
71	67	39	59	46
53	100	91	53	65
43	74	44	72	95
33	40	42	34	33
15	61	30	21	8
66	28	2	53	88
69	89	12	89	21
66	98	48	74	43
20	24	77	7	74
4	48	72	4	84
36	63	26	67	38
39	21	37	58	89
58	62	53	20	5
53	92	89	18	55
81	17	11	37	78
2	30	40	48	68
17	33	58	100	25
