83	20	79	72	8
99	74	81	70	41
68	60	58	26	17
16	70	74	85	50
45	76	94	18	51
9	12	13	42	69
40	84	100	68	50
16	15	52	23	40
94	90	13	82	69
97	18	77	81	23
96	69	89	66	8
7	66	86	34	91
79	74	24	94	79
1	10	82	94	52
73	64	4	32	40
93	11	66	46	57
27	97	64	21	64
62	35	51	6	59
66	93	37	12	51
85	63	88	98	82
3	47	68	80	5
31	42	37	13	63
29	47	66	30	94
37	20	72	83	71
75	83	13	40	25
83	25	100	4	8
98	97	63	20	40
82	9	41	99	86
59	53	70	15	89
22	72	21	37	38
48	63	79	67	79
64	56	60	15	41
47	91	28	58	29
73	28	33	38	74
98	66	27	89	21
13	61	19	46	8
66	29	34	42	85
88	24	81	48	64
62	25	3	14	82
45	47	62	18	11
91	62	31	78	50
71	62	20	5	85
25	52	33	7	94
30	100	52	23	5
60	95	76	13	38
43	16	8	32	48
12	5	34	15	88
46	96	56	81	84
22	32	9	79	59
45	73	55	58	8
69	16	33	84	49
40	53	93	12	40
95	98	100	35	30
43	52	26	33	4
69	53	55	91	64
100	22	19	3	54
75	86	43	23	84
1	40	58	49	49
75	54	19	97	50
72	89	98	60	8
24	78	90	47	57
81	17	88	7	63
75	24	95	35	58
24	60	11	16	2
72	56	6	9	8
80	9	80	41	63
81	90	60	50	1
68	70	20	40	49
54	42	88	27	39
74	70	38	6	98
89	95	45	2	81
31	31	55	61	24
33	41	55	55	96
10	42	65	41	55
24	12	11	5	5
39	41	18	70	76
95	62	17	81	1
92	71	21	10	81
95	88	70	6	27
23	57	4	62	6
90	30	73	35	60
55	28	81	48	91
41	43	84	30	14
62	30	51	87	37
18	29	12	6	11
27	81	25	97	85
59	77	60	4	21
75	4	14	89	33
29	10	17	14	46
95	31	6	5	7
46	20	51	34	56
33	32	74	68	79
18	93	80	13	25
16	57	68	26	5
83	26	79	19	28
79	25	11	77	100
72	77	61	75	85
63	2	92	16	70
26	60	92	94	6
18	10	19	29	9
82	97	62	92	72
96	85	97	11	61
100	61	33	84	18
81	40	94	72	82
92	3	54	80	55
29	70	69	83	46
21	54	51	7	50
47	77	46	49	85
68	28	88	97	96
31	31	93	29	71
45	29	91	2	42
76	28	52	36	27
84	25	19	32	8
36	40	95	84	45
74	51	73	29	58
80	26	29	57	67
26	11	91	42	73
12	49	71	36	72
4	80	46	41	95
55	80	93	8	66
2	52	62	63	86
30	45	89	12	37
12	21	83	72	1
12	66	94	3	22
76	47	15	25	61
18	95	33	55	76
76	72	60	40	66
98	19	16	14	21
18	95	85	94	92
53	60	95	86	70
73	7	51	59	74
4	89	78	93	3
38	16	100	1	53
91	99	79	55	17
99	71	37	31	94
12	21	73	76	67
3	23	70	24	100
72	73	93	74	87
27	52	1	85	39
15	56	92	48	68
4	72	89	85	34
27	20	95	69	59
90	64	27	74	31
95	66	25	54	12
9	56	53	56	81
27	81	79	20	45
84	7	28	43	85
100	17	78	52	41
80	99	85	74	21
34	100	57	54	69
78	48	72	26	2
86	72	60	62	56
14	77	79	8	33
7	71	49	60	17
93	70	27	20	93
4	89	11	23	53
76	84	26	4	75
24	56	37	79	63
27	23	1	68	44
42	7	83	58	83
51	32	26	36	11
65	63	14	82	5
63	64	86	34	34
62	54	70	53	92
87	35	67	79	30
73	42	61	14	76
32	12	89	62	65
4	67	20	54	35
70	14	80	52	53
9	8	74	51	71
48	41	4	40	23
58	90	79	58	35
99	66	70	73	76
77	89	100	68	31
28	87	98	6	97
74	67	31	48	18
52	73	67	26	81
84	47	91	41	87
43	35	28	93	55
24	92	71	92	80
33	13	34	98	93
23	5	56	8	78
27	35	25	61	97
2	52	55	52	74
56	81	12	66	40
52	11	5	27	98
1	6	6	90	35
66	26	13	14	76
67	88	73	98	22
30	58	62	69	44
17	75	4	66	41
6	57	11	97	61
10	89	11	10	46
52	72	96	89	45
2	82	100	30	68
18	95	3	82	95
93	59	49	25	31
5	31	37	75	91
99	24	32	13	16
25	64	30	49	95
